F_O2_entrada_kmol_h;m_biogas_entrada_kg_h;m_oxigenio_entrada_kg_h;m_agua_vapor_entrada_kg_h;P_entrada_biogas_bar;T_entrada_biogas_C;P_entrada_oxigenio_bar;T_entrada_oxigenio_C;P_entrada_agua_bar;T_entrada_agua_C;T_vapor_necessaria_C;Q_aquecedor_vapor_kW;W_bomba_agua_W;P_mistura_final_bar;T_mistura_final_alvo_C;W_compressao_biogas_total_kW
7,23809;597,183;230,859;710,66;15;48,374878;15;25;1;25;862,1878202;828,0834431;395,6054215;15;500;1,366317625
7,2383;597,201;230,866;710,68;15;48,37495852;15;25;1;25;862,1884805;828,1070605;395,616555;15;500;1,36636095
7,24442;597,705;231,061;711,281;15;48,3770904;15;25;1;25;862,1868433;828,8065888;395,9511156;15;500;1,367505971
7,24463;597,723;231,067;711,302;15;48,37715966;15;25;1;25;862,1867479;828,8310134;395,9628057;15;500;1,367543107
7,25075;598,227;231,263;711,902;15;48,37931086;15;25;1;25;862,1858621;829,5297317;396,2968097;15;500;1,368694322
7,25096;598,245;231,269;711,923;15;48,37938038;15;25;1;25;862,1857665;829,5541562;396,3084998;15;500;1,368731458
7,25231;598,356;231,312;712,056;15;48,37985565;15;25;1;25;862,1851093;829,7088199;396,3825374;15;500;1,368985222
7,25542;598,613;231,412;712,361;15;48,38094666;15;25;1;25;862,1851374;830,0642283;396,5523227;15;500;1,369567021
7,25696;598,74;231,461;712,512;15;48,3814929;15;25;1;25;862,1848972;830,2400639;396,6363804;15;500;1,369857921
7,25921;598,926;231,533;712,733;15;48,38228405;15;25;1;25;862,1846874;830,49748;396,7594052;15;500;1,370278799
7,26005;598,995;231,559;712,816;15;48,38258682;15;25;1;25;862,1839176;830,5938283;396,8056091;15;500;1,370439723
7,28176;600,786;232,252;714,947;15;48,39028691;15;25;1;25;862,1803305;833,075222;397,9918798;15;500;1,374506178
7,29049;601,506;232,53;715,804;15;48,39341966;15;25;1;25;862,1785539;834,0729736;398,4689488;15;500;1,376146395
7,30192;602,449;232,895;716,926;15;48,39753335;15;25;1;25;862,1766756;835,379459;399,0935362;15;500;1,378287975
7,3112;603,215;233,191;717,838;15;48,40090575;15;25;1;25;862,1747123;836,4412041;399,6012222;15;500;1,380033438
7,31339;603,396;233,261;718,053;15;48,40169758;15;25;1;25;862,1745064;836,6916284;399,7209069;15;500;1,380441952
7,31592;603,604;233,341;718,301;15;48,40261059;15;25;1;25;862,1737015;836,9802183;399,8589619;15;500;1,380912363
7,32344;604,225;233,581;719,04;15;48,40535733;15;25;1;25;862,1722868;837,8406396;400,2703434;15;500;1,382323601
7,34065;605,645;234,13;720,729;15;48,41168954;15;25;1;25;862,1694764;839,8073482;401,2105646;15;500;1,385554623
7,36195;607,402;234,809;722,82;15;48,41959799;15;25;1;25;862,1653263;842,2418225;402,3745684;15;500;1,389547031
7,36673;607,797;234,962;723,29;15;48,42138871;15;25;1;25;862,164524;842,7890876;402,6362048;15;500;1,390444558
7,3701;608,074;235,069;723,62;15;48,42265122;15;25;1;25;862,1636851;843,1732043;402,819907;15;500;1,391075924
7,37641;608,596;235,271;724,241;15;48,42502163;15;25;1;25;862,162625;843,8962914;403,1656011;15;500;1,392258191
7,3847;609,279;235,535;725,054;15;48,42814917;15;25;1;25;862,1609208;844,8427875;403,6181765;15;500;1,393811858
7,38548;609,344;235,56;725,131;15;48,42844896;15;25;1;25;862,1609009;844,9324993;403,6610403;15;500;1,393960417
