Tag,Name,Block,Component Type,Topology IDs,Design Capacity,Unit,Capacity Source,Capacity Method,C_BM (EUR),C_BM Low,C_BM High,Cost Class,Formula,Within Bounds,Warnings,Errors
SOEC_Cluster,SOEC Stack Module (6 modules),SOEC,Electrolyzer SOEC,SOEC_Cluster,14400.0,kW,component_parameter,vendor_quote,24197358.17,19357886.54,29036829.8,Class 3,"Vendor Quote €24,197,358 (direct)",Yes,,
ATT-1,Attemperator (Venturi),SOEC,Spray Water Attemperator,SOEC_Feed_Attemperator,0.05,m³,component_parameter,turton,291269.06,203888.34,378649.78,Class 4,"log10(Cp0) = 3.6298 + -0.4991*log10(0.05) + 0.0411*[log10(0.05)]²; Cp0 = $22,321; C_BM = Cp0 × 6.5 × 1.0 × CEPCI(2.0076)",Yes,,
HTX-3,Electric Process Heaters (SOEC Train),SOEC,Electric Heater,"SOEC_H2_Boiler, SOEC_H2_ElectricBoiler_PSA, SOEC_Steam_Boiler",3150.0,kW,component_parameter,turton,3633958.14,2543770.7,4724145.58,Class 4,"log10(Cp0) = 2.858 + 0.8209*log10(3150.00) + 0.0075*[log10(3150.00)]²; Cp0 = $663,055; C_BM = Cp0 × 1.3 × 2.1 × CEPCI(2.0076)",Yes,,
CYC-SOEC-VESSEL,SOEC H2 Cyclone Separators (Vessel),SOEC,Vertical Pressure Vessel,"SOEC_H2_Cyclone_1, SOEC_H2_Cyclone_2, SOEC_H2_Cyclone_3, SOEC_H2_Cyclone_4, SOEC_H2_Cyclone_5, SOEC_H2_Cyclone_6",0.09,m³,component_parameter,turton,21729.35,15210.54,28248.16,Class 4,"log10(Cp0) = 3.4974 + 0.449*log10(0.09) + 0.107*[log10(0.09)]²; Cp0 = $1,396; C_BM = Cp0 × (2.25 + 1.82×2.7×1.12) × 1.0 × CEPCI(2.0076)",Yes,,
CYC-SOEC-INTERNALS,SOEC H2 Cyclone Separators (Internals),SOEC,Cyclone Internals,"SOEC_H2_Cyclone_1, SOEC_H2_Cyclone_2, SOEC_H2_Cyclone_3, SOEC_H2_Cyclone_4, SOEC_H2_Cyclone_5, SOEC_H2_Cyclone_6",0.12,m²,component_parameter,turton,4623.51,3236.46,6010.56,Class 4,"log10(Cp0) = 3.349 + 0.467*log10(0.12) + 0.124*[log10(0.12)]²; Cp0 = $1,047; C_BM = Cp0 × 2.2 × 1.0 × CEPCI(2.0076)",Yes,,
PMP-1,SOEC Feed Pump,SOEC,Centrifugal Pump,SOEC_Feed_Pump,0.59,kW,"calculated (fallback; power_kw not in params: max_power_kw, rated_power_kw, power_kw, P_max, rated_power_mw, max_power_mw, max_power_nominal_mw)",turton,36108.69488985192,18054.35,54163.04,Class 5,"log10(Cp0) = 3.3892 + 0.0536*log10(0.59) + 0.1538*[log10(0.59)]²; Cp0 = $2,426; C_BM = Cp0 × 3.3 × 2.0 × CEPCI(2.0076) || + Motor(P_elec=0.7kW): €3,960 [<=75kW K1=3.3432]",No,Capacity 0.5932918468515979 outside correlation bounds,
PMP-DRAIN,SOEC Drain Pumps (3 units),SOEC,Centrifugal Pump,"SOEC_DRAIN_PUMP_1, SOEC_DRAIN_PUMP_2, SOEC_Drain_Pump",0.03,kW,"calculated (fallback; power_kw not in params: max_power_kw, rated_power_kw, power_kw, P_max, rated_power_mw, max_power_mw, max_power_nominal_mw)",turton,52580.01810377557,36806.01,68354.02,Class 4,"log10(Cp0) = 3.3892 + 0.0536*log10(0.03) + 0.1538*[log10(0.03)]²; Cp0 = $4,875; C_BM = Cp0 × (1.89 + 1.35×2.41×1.0) × 1.0 × CEPCI(2.0076) || + Motor(P_elec=0.0kW): €2,240 [<=75kW K1=3.3432]",Yes,,
RCT-2,Rectifier and Transformer (SOEC),SOEC,Power Electronics,SOEC_Cluster,14400.0,kW,component_parameter,iea_scaling,6191999.999999999,4334400.0,8049600.0,Class 4,"IEA Method: 14,400.0 kW * €200.0 * 2.15",Yes,,
RCT-3,Rectifier and Transformer (SOEC),Other,Power Electronics,BOP_Transformer,5000.0,kW,component_parameter,iea_scaling,2150000.0,1505000.0,2795000.0,Class 4,"IEA Method: 5,000.0 kW * €200.0 * 2.15",Yes,,
UTL-DC-BANK,Central Dry Cooler Bank (Glycol),Utilities,Air-Cooled Heat Exchanger,cooling_manager,1000.0,m²,component_parameter [Modular Split],turton,3321219.3,2324853.51,4317585.09,Class 4,"5 x (log10(Cp0) = 4.0336 + 0.2341*log10(1000.00) + 0.0497*[log10(1000.00)]²; Cp0 = $152,475; C_BM = Cp0 × (0.96 + 1.21×1.0×1.0) × 1.0 × CEPCI(2.0076))",Yes,,
UTL-CT-01,Central Cooling Tower (Evaporative),Utilities,Cooling Tower,cooling_manager,300.0,kW,component_parameter,turton,288697.73,202088.41,375307.05,Class 4,"log10(Cp0) = 4.8509 + -0.3698*log10(300.00) + 0.1706*[log10(300.00)]²; Cp0 = $95,870; C_BM = Cp0 × 1.5 × 1.0 × CEPCI(2.0076)",Yes,,
UTL-PUMP-GLY,Central Glycol Circulation Pumps,Utilities,Centrifugal Pump,cooling_manager,0.0,kW,not_found,vendor_quote,,,,Class 5,No valid vendor quote provided || + Motor(P_elec=0kW): skipped,No,,
CHL-2,SOEC H2 Chiller (Post-Deoxo),SOEC,Shell and Tube Heat Exchanger,SOEC_H2_Chiller_2,16.0,m²,component_parameter,turton,159983.2,111988.24,207978.16,Class 4,"log10(Cp0) = 4.4646 + -0.53*log10(16.00) + 0.164*[log10(16.00)]²; Cp0 = $11,593; C_BM = Cp0 × (1.63 + 1.66×2.7×1.17) × 1.0 × CEPCI(2.0076)",Yes,,
COA-SOEC,SOEC H2 Coalescer,SOEC,Vertical Pressure Vessel,SOEC_H2_Coalescer,0.07,m³,component_parameter,turton,25094.26,17565.98,32622.54,Class 4,"log10(Cp0) = 3.4974 + 0.4485*log10(0.07) + 0.1074*[log10(0.07)]²; Cp0 = $1,329; C_BM = Cp0 × (2.25 + 1.82×2.1×1.38) × 1.25 × CEPCI(2.0076)",Yes,,
HEX-SOEC-H2,SOEC H2 Interchanger,SOEC,Shell and Tube Heat Exchanger,SOEC_H2_Interchanger_1,100.0,m²,component_parameter,turton,141075.36,98752.75,183397.97,Class 4,"log10(Cp0) = 4.4646 + -0.53*log10(100.00) + 0.164*[log10(100.00)]²; Cp0 = $11,497; C_BM = Cp0 × (1.63 + 1.66×2.7×1.0) × 1.0 × CEPCI(2.0076)",Yes,,
HEX-SOEC-O2,SOEC O2 Interchanger,SOEC,Shell and Tube Heat Exchanger,SOEC_O2_Interchanger_1,100.0,m²,component_parameter,turton,141075.36,98752.75,183397.97,Class 4,"log10(Cp0) = 4.4646 + -0.53*log10(100.00) + 0.164*[log10(100.00)]²; Cp0 = $11,497; C_BM = Cp0 × (1.63 + 1.66×2.7×1.0) × 1.0 × CEPCI(2.0076)",Yes,,
PEM_Electrolyzer,PEM Electrolyzer Stack,PEM,Electrolyzer PEM,PEM_Electrolyzer,5350.0,kW,component_parameter,vendor_quote,4403091.58,3522473.26,5283709.9,Class 3,"Vendor Quote €4,403,092 (direct)",Yes,,
RCT-1,Rectifier and Transformer (PEM),PEM,Power Electronics,PEM_Electrolyzer,5350.0,kW,component_parameter,iea_scaling,2300500.0,1610350.0,2990650.0,Class 4,"IEA Method: 5,350.0 kW * €200.0 * 2.15",Yes,,
KOT-PEM,PEM Knock-Out Drums (H2 + O2),PEM,Vertical Pressure Vessel,"PEM_H2_KOD_1, PEM_O2_KOD_1",0.59,m³,"calculated (fallback; volume_m3 not in params: volume_m3, V_tank, total_volume_m3, capacity_m3)",turton,47755.43,33428.8,62082.06,Class 4,"log10(Cp0) = 3.4974 + 0.4485*log10(0.59) + 0.1074*[log10(0.59)]²; Cp0 = $2,512; C_BM = Cp0 × (2.25 + 1.82×3.1×1.0) × 1.2 × CEPCI(2.0076)",Yes,,
COA-PEM,PEM Coalescers (H2 + O2),PEM,Vertical Pressure Vessel,"PEM_H2_Coalescer_1, PEM_H2_Coalescer_2, PEM_O2_Coalescer_1",0.24,m³,component_parameter,turton,34471.04,24129.73,44812.35,Class 4,"log10(Cp0) = 3.4974 + 0.4485*log10(0.24) + 0.1074*[log10(0.24)]²; Cp0 = $1,826; C_BM = Cp0 × (2.25 + 1.82×2.1×1.38) × 1.25 × CEPCI(2.0076)",Yes,,
HTR-PEM,PEM Electric Heaters,PEM,Electric Heater,"PEM_H2_ElectricBoiler_1, PEM_H2_ElectricBoiler_2, PEM_O2_ElectricBoiler",75.0,kW,component_parameter,turton,145357.41,101750.19,188964.63,Class 4,"log10(Cp0) = 2.858 + 0.8209*log10(75.00) + 0.0075*[log10(75.00)]²; Cp0 = $26,522; C_BM = Cp0 × 1.3 × 2.1 × CEPCI(2.0076)",Yes,,
CHL-PEM,PEM Chillers (H2 + O2),PEM,Shell and Tube Heat Exchanger,"PEM_H2_Chiller_1, PEM_H2_Chiller_2, PEM_O2_Chiller_1",14.67,m²,component_parameter,turton,161961.52,113373.06,210549.98,Class 4,"log10(Cp0) = 4.4646 + -0.53*log10(14.67) + 0.164*[log10(14.67)]²; Cp0 = $11,736; C_BM = Cp0 × (1.63 + 1.66×2.7×1.17) × 1.0 × CEPCI(2.0076)",Yes,,
DCL-PEM,PEM Dry Coolers,PEM,Air-Cooled Heat Exchanger,"PEM_H2_DryCooler_1, PEM_O2_Drycooler_1",15.0,m²,"calculated (fallback; area_m2 not in params: area_m2, heat_transfer_area_m2, A_hx, exchange_area_m2)",turton,204628.1,143239.67,266016.53,Class 4,"log10(Cp0) = 4.3247 + -0.303*log10(15.00) + 0.1634*[log10(15.00)]²; Cp0 = $15,644; C_BM = Cp0 × (1.63 + 1.66×2.7×1.09) × 1.0 × CEPCI(2.0076)",Yes,,
MCY-PEM,PEM Cyclone Separators,PEM,Vertical Pressure Vessel,"PEM_H2_Cyclone_1, PEM_H2_Cyclone_2, PEM_O2_Cyclone_1",0.3,m³,component_parameter [Modular Split],turton,31053.26,21737.28,40369.24,Class 4,"log10(Cp0) = 3.4974 + 0.4485*log10(0.30) + 0.1074*[log10(0.30)]²; Cp0 = $1,960; C_BM = Cp0 × (2.25 + 1.82×3.1×1.0) × 1.0 × CEPCI(2.0076)",Yes,,
DGS-PEM,PEM Degasser Tanks,PEM,Vertical Pressure Vessel,"PEM_Degasser_1, PEM_Degasser_2",3.0,m³,component_parameter,turton,72984.42,51089.09,94879.75,Class 4,"log10(Cp0) = 3.4974 + 0.4485*log10(3.00) + 0.1074*[log10(3.00)]²; Cp0 = $5,443; C_BM = Cp0 × (2.25 + 1.82×2.1×1.0) × 1.1 × CEPCI(2.0076)",Yes,,
VAL-PEM,PEM Control Valves,PEM,Ball Valve,"PEM_Water_Return_Valve_1, PEM_Water_Return_Valve_2, PEM_O2_Valve",0.0,inches,not_found,excluded,,,,Class 5,Excluded,Yes,,
DEOXO-PEM,PEM H2 Deoxidizer,PEM,Vertical Pressure Vessel,PEM_H2_Deoxo_1,0.11,m³,component_parameter,turton,63718.16,44602.71,82833.61,Class 4,"log10(Cp0) = 3.4974 + 0.449*log10(0.11) + 0.107*[log10(0.11)]²; Cp0 = $1,463; C_BM = Cp0 × (2.25 + 1.82×2.1×2.25) × 2.0 × CEPCI(2.0076)",Yes,,
PMP-PEM,PEM Water Pump,PEM,Centrifugal Pump,PEM_Water_Pump,5.71,kW,"calculated (fallback; power_kw not in params: max_power_kw, rated_power_kw, power_kw, P_max, rated_power_mw, max_power_mw, max_power_nominal_mw)",turton,51648.66493019104,36154.07,67143.26,Class 4,"log10(Cp0) = 3.3892 + 0.0536*log10(5.71) + 0.1538*[log10(5.71)]²; Cp0 = $3,295; C_BM = Cp0 × 3.3 × 2.0 × CEPCI(2.0076) || + Motor(P_elec=6.3kW): €7,988 [<=75kW K1=3.3432]",Yes,,
ATR,Autothermal Reformer Reactor,ATR,Process Reactor,ATR_Plant,0.0,-,not_found,vendor_quote,3118657.0,2494925.6,3742388.4,Class 3,"Vendor Quote €3,118,657 (direct)",Yes,,
HT-WGS,High Temperature Water-Gas Shift Reactor,ATR,Process Reactor,ATR_Plant,0.0,-,not_found,vendor_quote,436612.0,349289.6,523934.4,Class 3,"Vendor Quote €436,612 (direct)",Yes,,
LT-WGS,Low Temperature Water-Gas Shift Reactor,ATR,Process Reactor,ATR_Plant,0.0,-,not_found,vendor_quote,436612.0,349289.6,523934.4,Class 3,"Vendor Quote €436,612 (direct)",Yes,,
MTC-6,Biogas Compressor (3 stages),ATR,Reciprocating Compressor,"Biogas_Compressor_1, Biogas_Compressor_2, Biogas_Compressor_3",117.22,kW,"calculated (fallback; power_kw not in params: max_power_kw, rated_power_kw, power_kw, P_max, rated_power_mw, max_power_mw, max_power_nominal_mw)",turton,144609.22,101226.45,187991.99,Class 4,"log10(Cp0) = 2.0309 + 1.2524*log10(117.22) + -0.0638*[log10(117.22)]²; Cp0 = $22,336; C_BM = Cp0 × 2.15 × 1.5 × CEPCI(2.0076)",Yes,,
DCL-BG,Biogas Intercoolers,ATR,Air-Cooled Heat Exchanger,"Biogas_Intercooler_1, Biogas_Intercooler_2",10.5,m²,"calculated (fallback; area_m2 not in params: area_m2, heat_transfer_area_m2, A_hx, exchange_area_m2)",turton,200854.86,140598.4,261111.32,Class 4,"log10(Cp0) = 4.3247 + -0.303*log10(10.50) + 0.1634*[log10(10.50)]²; Cp0 = $15,335; C_BM = Cp0 × (1.63 + 1.66×2.7×1.092) × 1.0 × CEPCI(2.0076)",Yes,,
ATR-O2-COMP,ATR O2 Compressor,ATR,Centrifugal Compressor,ATR_O2_Compressor,92.83,kW,"calculated (fallback; power_kw not in params: max_power_kw, rated_power_kw, power_kw, P_max, rated_power_mw, max_power_mw, max_power_nominal_mw)",turton,495211.22,346647.85,643774.59,Class 4,"log10(Cp0) = 2.2891 + 1.3604*log10(92.83) + -0.1027*[log10(92.83)]²; Cp0 = $37,010; C_BM = Cp0 × 2.15 × 3.1 × CEPCI(2.0076)",Yes,,
MCT-7,ATR H2 Compressor (2 stages),ATR,Reciprocating Compressor,"ATR_H2_Compressor_1, ATR_H2_Compressor_2",10816.67,kW,"calculated (fallback; power_kw not in params: max_power_kw, rated_power_kw, power_kw, P_max, rated_power_mw, max_power_mw, max_power_nominal_mw)",turton,10051916.32,7036341.42,13067491.22,Class 4,"log10(Cp0) = 2.0309 + 1.2524*log10(10816.67) + -0.0638*[log10(10816.67)]²; Cp0 = $1,108,979; C_BM = Cp0 × 2.15 × 2.1 × CEPCI(2.0076)",Yes,,
DCL-ATR,ATR Dry Coolers,ATR,Air-Cooled Heat Exchanger,"ATR_DryCooler, ATR_H2_Drycooler",60.0,m²,"calculated (fallback; area_m2 not in params: area_m2, heat_transfer_area_m2, A_hx, exchange_area_m2)",turton,262885.44,184019.81,341751.07,Class 4,"log10(Cp0) = 4.3247 + -0.303*log10(60.00) + 0.1634*[log10(60.00)]²; Cp0 = $20,071; C_BM = Cp0 × (1.63 + 1.66×2.7×1.092) × 1.0 × CEPCI(2.0076)",Yes,,
CHL-ATR,ATR Chiller,ATR,Shell and Tube Heat Exchanger,ATR_Chiller_1,16.0,m²,component_parameter,turton,146422.44,102495.71,190349.17,Class 4,"log10(Cp0) = 4.4646 + -0.53*log10(16.00) + 0.164*[log10(16.00)]²; Cp0 = $11,593; C_BM = Cp0 × (1.63 + 1.66×2.7×1.04) × 1.0 × CEPCI(2.0076)",Yes,,
MCY-ATR,ATR Cyclone Separators,ATR,Vertical Pressure Vessel,"ATR_Cyclone_1, ATR_Cyclone_2",0.3,m³,component_parameter [Modular Split],turton,31053.26,21737.28,40369.24,Class 4,"log10(Cp0) = 3.4974 + 0.4485*log10(0.30) + 0.1074*[log10(0.30)]²; Cp0 = $1,960; C_BM = Cp0 × (2.25 + 1.82×3.1×1.0) × 1.0 × CEPCI(2.0076)",Yes,,
COA-ATR,ATR Coalescer,ATR,Vertical Pressure Vessel,ATR_Coalescer_1,0.11,m³,component_parameter [Modular Split],turton,747889.5,523522.65,972256.35,Class 4,"30 x (log10(Cp0) = 3.4974 + 0.4485*log10(0.11) + 0.1074*[log10(0.11)]²; Cp0 = $1,453; C_BM = Cp0 × (2.25 + 1.82×2.1×1.2) × 1.25 × CEPCI(2.0076))",Yes,,
PSA-ATR,ATR PSA Unit,ATR,PSA Unit,ATR_PSA_1,7.85,m³,component_parameter,turton,219041.55,153329.08,284754.02,Class 4,"log10(Cp0) = 3.4974 + 0.4485*log10(7.85) + 0.1074*[log10(7.85)]²; Cp0 = $9,658; C_BM = Cp0 × (2.25 + 1.82×2.1×1.15) × 1.7 × CEPCI(2.0076)",Yes,,
HTX-ATR,ATR Electric Heaters,ATR,Electric Heater,"ATR_H01_Boiler, ATR_H02_Boiler, ATR_H04_Boiler",1000.0,kW,component_parameter [Modular Split],turton,1275972.06,893180.44,1658763.68,Class 4,"2 x (log10(Cp0) = 2.858 + 0.8209*log10(1000.00) + 0.0075*[log10(1000.00)]²; Cp0 = $244,456; C_BM = Cp0 × 1.3 × 1.0 × CEPCI(2.0076))",Yes,,
PMP-ATR,ATR Feed/Drain Pumps,ATR,Centrifugal Pump,"ATR_Feed_Pump, ATR_Drain_Pump_1, ATR_Drain_Pump_2",1.49,kW,"calculated (fallback; power_kw not in params: max_power_kw, rated_power_kw, power_kw, P_max, rated_power_mw, max_power_mw, max_power_nominal_mw)",turton,38625.48724272856,27037.84,50213.13,Class 4,"log10(Cp0) = 3.3892 + 0.0536*log10(1.49) + 0.1538*[log10(1.49)]²; Cp0 = $2,529; C_BM = Cp0 × 3.3 × 2.0 × CEPCI(2.0076) || + Motor(P_elec=1.7kW): €5,113 [<=75kW K1=3.3432]",Yes,,
SYNGAS-CLR,ATR Syngas Cooler,ATR,Shell and Tube Heat Exchanger,ATR_Syngas_Cooler,100.0,m²,component_parameter,turton,145213.45,101649.42,188777.48,Class 4,"log10(Cp0) = 4.4646 + -0.53*log10(100.00) + 0.164*[log10(100.00)]²; Cp0 = $11,497; C_BM = Cp0 × (1.63 + 1.66×2.7×1.04) × 1.0 × CEPCI(2.0076)",Yes,,
FST,Filling Loading Docks (5 stations),Storage,Dispensing Station,Truck_Station_1,0.0,-,not_found,vendor_quote,1931019.0,1544815.2,2317222.8,Class 3,"Vendor Quote €1,931,019 (direct)",Yes,,
HBT,Underground H2 Storage,Storage,Underground Storage,LP_Storage_Tank,0.0,-,not_found,vendor_quote,6736268.0,5389014.4,8083521.6,Class 3,"Vendor Quote €6,736,268 (direct)",Yes,,
LP-COMP,LP Compressor (to Tank),Storage,Reciprocating Compressor,LP_Compressor_S1,12.02,kW,"calculated (fallback; power_kw not in params: max_power_kw, rated_power_kw, power_kw, P_max, rated_power_mw, max_power_mw, max_power_nominal_mw)",turton,18462.71,12923.9,24001.52,Class 4,"log10(Cp0) = 2.0309 + 1.2524*log10(12.02) + -0.0638*[log10(12.02)]²; Cp0 = $2,037; C_BM = Cp0 × 2.15 × 2.1 × CEPCI(2.0076)",Yes,,
LP-ICL,LP Compressor Intercooler,Storage,Air-Cooled Heat Exchanger,LP_Intercooler_1,50.0,m²,"calculated (fallback; area_m2 not in params: area_m2, heat_transfer_area_m2, A_hx, exchange_area_m2)",turton,250134.5,175094.15,325174.85,Class 4,"log10(Cp0) = 4.3247 + -0.303*log10(50.00) + 0.1634*[log10(50.00)]²; Cp0 = $19,123; C_BM = Cp0 × (1.63 + 1.66×2.7×1.09) × 1.0 × CEPCI(2.0076)",Yes,,
