Tag,Name,Block,Component Type,Topology IDs,Design Capacity,Unit,Capacity Source,Capacity Method,C_BM (EUR),C_BM Low,C_BM High,Cost Class,Formula,Within Bounds,Warnings,Errors
HP-ICL,HP Compressor Intercoolers,Storage,Air-Cooled Heat Exchanger,"HP_Intercooler_2, HP_Intercooler_3, HP_Intercooler_4",400.0,m²,"calculated (fallback; area_m2 not in params: area_m2, heat_transfer_area_m2, A_hx, exchange_area_m2)",turton,574405.27,402083.69,746726.85,Class 4,"log10(Cp0) = 4.3247 + -0.303*log10(400.00) + 0.1634*[log10(400.00)]²; Cp0 = $43,915; C_BM = Cp0 × (1.63 + 1.66×2.7×1.09) × 1.0 × CEPCI(2.0076)",Yes,,
WTR-SRC,Water Source/Supply,Water_Treatment,Utility System,Water_Source,12000.0,kg/h,component_parameter,excluded,,,,Class 5,Excluded,Yes,,
WTR-PUR,Water Purifier (UltraPure),Water_Treatment,Water Treatment,Water_Purifier,12000.0,kg/h,component_parameter,vendor_quote,1288210.7,1030568.56,1545852.84,Class 3,"Vendor Quote €1,288,211 (direct)",Yes,,
WTR-TANK,UltraPure Water Tank,Water_Treatment,Atmospheric Tank,UltraPure_Tank,20.0,m³,component_parameter,turton,193622.56,135535.79,251709.33,Class 4,"log10(Cp0) = 3.5565 + 0.3776*log10(20.00) + 0.0905*[log10(20.00)]²; Cp0 = $15,884; C_BM = Cp0 × (2.25 + 1.82×2.1×1.0) × 1.0 × CEPCI(2.0076)",Yes,,
H2-MIX,H2 Production Mixer,General,Flow Mixer,H2_Production_Mixer,0.0,kg/h,not_found,excluded,,,,Class 5,Excluded,Yes,,
H2-CLR,H2 Production Cooler,General,Air-Cooled Heat Exchanger,H2_Production_Cooler,10.0,m²,"calculated (fallback; area_m2 not in params: area_m2, heat_transfer_area_m2, A_hx, exchange_area_m2)",turton,200312.28,140218.6,260405.96,Class 4,"log10(Cp0) = 4.3247 + -0.303*log10(10.00) + 0.1634*[log10(10.00)]²; Cp0 = $15,314; C_BM = Cp0 × (1.63 + 1.66×2.7×1.09) × 1.0 × CEPCI(2.0076)",Yes,,
RCT-1,Rectifier and Transformer (PEM),PEM,Power Electronics,PEM_Transformer,5570.0,kW,component_parameter,iea_scaling,2395100.0,1676570.0,3113630.0,Class 4,"IEA Method: 5,570.0 kW * €200.0 * 2.15",Yes,,
RCT-2,Rectifier and Transformer (SOEC),SOEC,Power Electronics,SOEC_Transformer,15250.0,kW,component_parameter,iea_scaling,6557500.0,4590250.0,8524750.0,Class 4,"IEA Method: 15,250.0 kW * €200.0 * 2.15",Yes,,
RCT-3,Rectifier and Transformer (BOP),Other,Power Electronics,BOP_Transformer,5000.0,kW,component_parameter,iea_scaling,2150000.0,1505000.0,2795000.0,Class 4,"IEA Method: 5,000.0 kW * €200.0 * 2.15",Yes,,
UTL-DC-BANK,Central Dry Cooler Bank (Glycol),Utilities,Air-Cooled Heat Exchanger,cooling_manager,1000.0,m²,component_parameter [Modular Split],turton,3321219.3,2324853.51,4317585.09,Class 4,"5 x (log10(Cp0) = 4.0336 + 0.2341*log10(1000.00) + 0.0497*[log10(1000.00)]²; Cp0 = $152,475; C_BM = Cp0 × (0.96 + 1.21×1.0×1.0) × 1.0 × CEPCI(2.0076))",Yes,,
UTL-CT-01,Central Cooling Tower (Evaporative),Utilities,Cooling Tower,cooling_manager,300.0,kW,component_parameter,turton,288697.73,202088.41,375307.05,Class 4,"log10(Cp0) = 4.8509 + -0.3698*log10(300.00) + 0.1706*[log10(300.00)]²; Cp0 = $95,870; C_BM = Cp0 × 1.5 × 1.0 × CEPCI(2.0076)",Yes,,
UTL-PUMP-GLY,Central Glycol Circulation Pumps,Utilities,Centrifugal Pump,cooling_manager,0.0,kW,not_found,vendor_quote,128595.0,102876.0,154314.0,Class 3,"Vendor Quote €128,595 (direct) || + Motor(P_elec=0kW): skipped",No,,

TOTAL,,,,,,,,,109427064.88516656,80859365.99000002,137994763.76999998,Class 4,,,,


BLOCK SUMMARY,,,,,,,,,,,,,,,,
Block,Equipment Count,Equipment Total (EUR),Installation Categories,Installation Total (EUR),Total Installed Cost (EUR),,,,,,,,,,,
SOEC,22,58475566.0,"electrical: €29,237,783; instrumentation: €11,695,113; piping: €8,771,335",49704231.0,108179797.0,,,,,,,,,,,
Storage,6,9957079.0,"piping: €1,493,562; civil_foundations: €995,708",2489270.0,12446349.0,,,,,,,,,,,
Other,2,4300000.0,,0,4300000.0,,,,,,,,,,,
Utilities,6,7348429.0,,0,7348429.0,,,,,,,,,,,
PEM,13,9912270.0,"electrical: €4,956,135; instrumentation: €1,982,454; piping: €1,486,840",8425429.0,18337699.0,,,,,,,,,,,
ATR,15,17751576.0,"piping: €11,538,524; civil_foundations: €4,437,894; insulation: €1,775,158",17751576.0,35503152.0,,,,,,,,,,,
Water_Treatment,3,1481833.0,"piping: €148,183",148183.0,1630017.0,,,,,,,,,,,
General,2,200312.0,"engineering_supervision: €66,103; construction_expenses: €30,047; contingency: €30,047",126197.0,326509.0,,,,,,,,,,,

OVERALL TOTAL,69,109427065.0,,78644886.0,188071951.0,,,,,,,,,,,
