hours,Price,Price,,,,
226,119.865,128.365,,,,
227,103.46,115.175,,,,
228,98.995,114.565,,,,
229,100.32,115.155,,,,
230,112.585,126.13,,,,
231,124.375,134.025,,,,
232,138.79,145.845,,,,
233,136.935,142.37,,,,
234,131.025,131.125,,,,
235,119.265,121.405,,,,
236,96.085,99.6,,,,
237,91.665,86.65,,,,
238,75.77,62.635,,,,
239,56.745,48.375,,,,
240,47.255,44.295,,,,
241,46.455,43.46,,,,
242,41.24,41.075,,,,
243,41.965,40.6,,,,
244,52.575,41.095,,,,
245,87.86,73.655,,,,
246,116.11,103.99,,,,
247,139.8,152.29,,,,
248,142.88,142.38,,,,
249,111.825,122.715,,,,
250,109.2,118.54,,,,
251,103.04,108.6,,,,
252,100.935,104.77,,,,
253,108.11,110.86,,,,
254,112.985,118.07,,,,
255,120.265,126.715,,,,
256,138.53,140.425,,,,
257,140.6,135.285,,,,
258,131.155,131.105,,,,
259,124.51,118.205,,,,
260,96.595,101.03,,,,
261,87.05,96.015,,,,
262,60.705,75.115,,,,
263,57.52,51.93,,,,
264,48.915,43.275,,,,
265,46.78,44.395,,,,
266,39.97,38.695,,,,
267,40.675,40.365,,,,
268,52.44,52.365,,,,
269,68.41,83.52,,,,
270,103.425,116.775,,,,
271,126.585,139.67,,,,
272,121.015,145.78,,,,
273,109.555,116.005,,,,
274,101.88,113.325,,,,
275,91.875,106.84,,,,
276,86.66,102.975,,,,
277,89.385,107.39,,,,
278,95.3,109.33,,,,
279,103.79,113.955,,,,
280,134.665,128.75,,,,
281,140.5,135.25,,,,
282,131.835,124.735,,,,
283,114.45,119.135,,,,
284,108.55,88.85,,,,
285,102.51,79.56,,,,
286,89.89,61.45,,,,
287,112.5,61.46,,,,
288,101.315,51.315,,,,
289,90.335,46.215,,,,
290,67.96,40.56,,,,
291,57.925,39.175,,,,
292,57.98,50.32,,,,
293,61.63,66.83,,,,
294,66.4,83.275,,,,
295,76.035,93.675,,,,
296,92.75,96.235,,,,
297,92.565,92.75,,,,
298,92.65,87.565,,,,
299,92.335,78.235,,,,
300,87.34,75.53,,,,
301,87.675,77.865,,,,
302,93.5,83.8,,,,
303,98.65,92.44,,,,
304,124.43,128.215,,,,
305,123.5,128.9,,,,
306,105.8,114.4,,,,
307,109.49,98.62,,,,
308,90.185,103.2,,,,
309,89.21,102.5,,,,
310,74.55,88.645,,,,
311,67.455,104.95,,,,
312,51.705,95.605,,,,
313,48.915,84.285,,,,
314,37.59,62.845,,,,
315,37.425,56.385,,,,
316,42.025,60.51,,,,
317,36.305,58.065,,,,
318,38.865,65.41,,,,
319,45.235,78.21,,,,
320,65.2,96.55,,,,
321,67.985,96.92,,,,
322,81.05,93.2,,,,
323,80.195,92.68,,,,
324,71.025,85.45,,,,
325,79.65,86.5,,,,
326,84.17,91.16,,,,
327,90.81,93.31,,,,
328,115.75,113.06,,,,
329,134.75,119.55,,,,
330,141.35,106,,,,
331,139.48,111.285,,,,
332,123.47,88.985,,,,
333,117.695,84.405,,,,
334,100.095,68.145,,,,
335,63.955,63.955,,,,
336,62.505,47.2,,,,
337,63.33,45.935,,,,
338,59.07,34.49,,,,
339,62.67,32.485,,,,
340,78.125,36.65,,,,
341,117.405,40.88,,,,
342,129.755,43.105,,,,
343,142.665,55.27,,,,
344,135.15,68.85,,,,
345,147.495,66.875,,,,
346,127.9,82.55,,,,
347,114.885,80.59,,,,
348,113.835,73.605,,,,
349,115.35,82.375,,,,
350,119.735,87.795,,,,
351,124.535,96.31,,,,
352,136.65,123.075,,,,
353,143.265,143.705,,,,
354,127.815,151.415,,,,
355,120.15,147.15,,,,
356,105.505,123.69,,,,
357,102.535,118.88,,,,
358,99.25,105.75,,,,
359,84.595,64.005,,,,
360,85.98,68.26,,,,
361,87.705,70.075,,,,
362,88.41,66.46,,,,
363,87.07,68.175,,,,
364,93.08,79.805,,,,
365,111.725,123.515,,,,
366,128.3,145.455,,,,
367,172.055,165.05,,,,
368,185.7,154.3,,,,
369,125.46,161.05,,,,
370,115,137.8,,,,
371,101.975,118.295,,,,
372,100.5,116.785,,,,
373,99.965,115.05,,,,
374,129.005,130.095,,,,
375,141.345,131.57,,,,
376,156.515,147.545,,,,
377,142.145,147.91,,,,
378,126.05,126.25,,,,
379,117.2,117.935,,,,
380,112.705,107.985,,,,
381,107.505,104.76,,,,
382,103.3,97.6,,,,
383,95.8,86.495,,,,
384,95.875,83.55,,,,
385,97.315,84.355,,,,
386,96.33,84.895,,,,
387,95.01,85.315,,,,
388,96.61,92.43,,,,
389,102.98,103.31,,,,
390,125.67,112.87,,,,
391,139.12,148.37,,,,
392,141.37,169.49,,,,
393,125.165,119.625,,,,
394,117.075,115.55,,,,
395,116.525,114.845,,,,
396,116.24,114.815,,,,
397,117.54,116.965,,,,
398,131.31,135.17,,,,
399,137.26,148.775,,,,
400,148.455,160.82,,,,
401,124.795,142.35,,,,
402,118.085,131.6,,,,
403,108.125,121.795,,,,
404,106.815,117.57,,,,
405,103.305,110.95,,,,
406,97.335,107.305,,,,
407,95.915,100.05,,,,
408,91.985,98.545,,,,
409,89.82,99.285,,,,
410,87.95,98.525,,,,
411,91.66,98.285,,,,
412,96.11,99.755,,,,
413,104.015,109.74,,,,
414,134.565,137.815,,,,
415,142.99,151.74,,,,
416,144.975,147.41,,,,
417,124.7,125.2,,,,
418,108.175,101.525,,,,
419,106.775,101.63,,,,
420,112.755,93.195,,,,
421,123.55,101.845,,,,
422,130.88,112.9,,,,
423,142.485,123.325,,,,
424,153.845,131.875,,,,
425,150.46,115.215,,,,
426,129.64,105.46,,,,
427,115.5,99.045,,,,
428,115.775,101.52,,,,
429,112.985,97.07,,,,
430,106.305,92.535,,,,
431,109.52,90.335,,,,
432,105.38,86.62,,,,
433,102.72,83.985,,,,
434,102.78,82.24,,,,
435,104.15,85.275,,,,
436,108.455,90.76,,,,
437,123.195,97.715,,,,
438,147.035,122.95,,,,
439,169.665,134.135,,,,
440,160.805,135.8,,,,
441,148.65,113.265,,,,
442,141.71,110.175,,,,
443,129.85,100.905,,,,
444,127.49,114.115,,,,
445,127.41,117.855,,,,
446,132.52,124.5,,,,
447,142.45,135.595,,,,
448,150.985,148.845,,,,
449,148.15,142.735,,,,
450,129.29,123.165,,,,
451,112.17,111.475,,,,
452,113.21,109.765,,,,
453,111.145,108.99,,,,
454,106.15,101.875,,,,
455,109.1,107.95,,,,
456,107.685,106.005,,,,
457,102.88,102.99,,,,
458,98.85,102.31,,,,
459,97.38,103.415,,,,
460,98.295,105.88,,,,
461,97.045,116.245,,,,
462,103.835,137.485,,,,
463,115.04,154.94,,,,
464,124.87,149.8,,,,
465,120.905,140.785,,,,
466,113.27,134.51,,,,
467,106.4,126.19,,,,
468,101.96,124.26,,,,
469,104.975,126.485,,,,
470,107.52,135.57,,,,
471,116.04,143.93,,,,
472,134.45,151.6,,,,
473,139.755,154.145,,,,
474,125.49,137.625,,,,
475,122.94,115.695,,,,
476,111.73,115.51,,,,
477,107.14,112.035,,,,
478,100.855,108.34,,,,
479,101.25,107.35,,,,
480,89.97,102.43,,,,
481,91.075,98.685,,,,
482,90.94,93.385,,,,
483,85.215,90.61,,,,
484,84.31,90.89,,,,
485,88.695,88.25,,,,
486,84.885,91.47,,,,
487,95.45,103.13,,,,
488,105.355,115.92,,,,
489,102.745,114.55,,,,
490,104.67,106.59,,,,
491,103.1,103.905,,,,
492,101.37,94.88,,,,
493,105.37,96.21,,,,
494,107.35,96.555,,,,
