vazao_kg_h;P0_bar;T0_C;P1_bar;T1_C;W1_kW;T_dc1_C;W_dc1_kW;P2_bar;T2_C;W2_kW;T_dc2_C;W_dc2_kW;P3_bar;T3_C;W3_kW;W_total_sistema_kW
21,7975;3,0;25,0;6,362896510665318;120,0377638901802;0,6304883246229169;30,182001078789213;0,005;12,860731797009432;120,22450539053972;0,5973582484057458;30,182378555450683;0,005;15,0;48,35967209482868;0,12018371638269348;1,3580302894113563
21,7976;3,0;25,0;6,362896510665318;120,0377638901802;0,6304912171029013;30,18200625892665;0,005;12,860731184029735;120,22450525480951;0,5973609537468044;30,18238374605754;0,005;15,0;48,35968330583745;0,12018430766673611;1,358036478516442
21,7976;3,0;25,0;6,362896510665318;120,0377638901802;0,6304912171029013;30,18200625892665;0,005;12,860731184029735;120,22450525480951;0,5973609537468044;30,18238374605754;0,005;15,0;48,35968330583745;0,12018430766673611;1,358036478516442
21,7976;3,0;25,0;6,362896510665318;120,0377638901802;0,6304912171029013;30,18200625892665;0,005;12,860731184029735;120,22450525480951;0,5973609537468044;30,18238374605754;0,005;15,0;48,35968330583745;0,12018430766673611;1,358036478516442
21,7977;3,0;25,0;6,362896510665318;120,0377638901802;0,630494109582886;30,182011439163986;0,005;12,860730571038262;120,22450511907829;0,5973636590868747;30,182388936764482;0,005;15,0;48,35969451706222;0,12018489895191277;1,3580426676216737
21,7977;3,0;25,0;6,362896510665318;120,0377638901802;0,630494109582886;30,182011439163986;0,005;12,860730571038262;120,22450511907829;0,5973636590868747;30,182388936764482;0,005;15,0;48,35969451706222;0,12018489895191277;1,3580426676216737
21,7977;3,0;25,0;6,362896510665318;120,0377638901802;0,630494109582886;30,182011439163986;0,005;12,860730571038262;120,22450511907829;0,5973636590868747;30,182388936764482;0,005;15,0;48,35969451706222;0,12018489895191277;1,3580426676216737
21,7989;3,0;25,0;6,362896510665318;120,0377638901802;0,6305288193427;30,18207360980506;0,005;12,860723214221666;120,22450349011166;0,5973961230897532;30,18245123305539;0,005;15,0;48,35982906862557;0,12019199446268684;1,35811693689514
21,8017;3,0;25,0;6,362896510665318;120,0377638901802;0,6306098087822664;30,18221873059001;0,005;12,860706041718348;120,22449968780649;0,5974718718699725;30,182596647127795;0,005;15,0;48,36014314337291;0,12020855129097435;1,3582902319432133
21,8026;3,0;25,0;6,362896510665318;120,0377638901802;0,6306358411021269;30,182265393195593;0,005;12,860700520023185;120,22449846522545;0,5974962195256941;30,182643404035417;0,005;15,0;48,3602441319814;0,12021387331793132;1,3583459339457522
